anomalyID, srcIP, srcPort, dstIP, dstPort, taxonomy, heuristic, distance, nbDetectors, label
0,203.141.164.81,,47.246.93.70,,mptmp,0.26666,6,anomalous
0,203.141.164.81,,68.7.133.194,,mptmp,0.26666,6,anomalous
0,203.141.164.81,1194,,,mptmp,0.26666,6,anomalous
0,203.141.166.239,1194,,,mptmp,0.26666,6,anomalous
0,,1194,110.98.132.248,,mptmp,0.26666,6,anomalous
0,,1194,47.246.93.70,,mptmp,0.26666,6,anomalous
0,,1194,68.7.133.194,,mptmp,0.26666,6,anomalous
1,203.141.169.10,,206.196.27.121,,ipv4gretun,0.27807,6,anomalous
1,203.141.169.10,,204.253.209.124,,ipv4gretun,0.27807,6,anomalous
2,,36,125.163.217.53,,mptp,0.60974,10,anomalous
3,193.36.27.27,56173,,,mptmp,0.3628,7,anomalous
3,106.205.51.84,,,6379,mptmp,0.3628,7,anomalous
4,192.142.59.96,,,1521,mptmp,0.57652,7,anomalous
4,154.84.116.230,5071,,5060,mptmp,0.57652,7,anomalous
5,171.205.161.188,,,,ntscSYN,0.51463,9,anomalous
6,103.227.15.188,47917,,22,mptmp,0.03585,5,anomalous
6,,123,203.141.166.183,123,mptmp,0.03585,5,anomalous
7,162.130.160.9,443,163.58.5.233,,alphfl,0.03329,3,anomalous
8,192.142.18.244,,,1521,ntscSYN,0.52136,8,anomalous
9,,443,37.110.95.103,,mptmp,0.38597,6,anomalous
9,,443,203.141.180.19,,mptmp,0.38597,6,anomalous
10,,443,,,mptmp,0.38597,6,anomalous
10,17.133.53.201,80,,,mptmp,0.38597,6,anomalous
10,,80,163.58.252.234,,mptmp,0.38597,6,anomalous
11,202.244.159.30,,,443,mptmp,0.51463,9,anomalous
11,202.244.159.196,,,443,mptmp,0.51463,9,anomalous
12,81.168.202.208,,,6379,ntscSYN,0.57652,7,anomalous
13,203.141.160.176,443,182.192.84.59,63626,alphfl,0.38597,6,anomalous
13,203.141.160.176,443,182.192.84.59,63625,alphfl,0.38597,6,anomalous
13,203.141.160.176,443,182.192.84.59,60113,alphfl,0.38597,6,anomalous
13,203.141.160.176,443,182.192.84.59,60112,alphfl,0.38597,6,anomalous
13,203.141.160.176,,182.192.84.59,,alphfl,0.38597,6,anomalous
14,,,203.141.160.161,,mptp,0.41669,7,anomalous
15,13.210.243.168,443,163.58.219.35,54777,ptmpla,0.03329,3,anomalous
15,13.210.243.168,443,163.58.123.162,49906,ptmpla,0.03329,3,anomalous
16,31.50.177.197,443,,,mptmp,0.13222,4,anomalous
16,,443,203.141.166.215,,mptmp,0.13222,4,anomalous
17,,80,,,mptmp,0.38597,6,anomalous
17,,53,202.249.81.2,,mptmp,0.38597,6,anomalous
17,,443,202.249.81.2,,mptmp,0.38597,6,anomalous
18,,443,163.58.252.157,,mptp,0.38597,6,anomalous
19,192.142.20.186,,,21,ntscSYN,0.16936,3,anomalous
20,125.163.217.54,,,6061,ntscSYN,0.26936,4,anomalous
21,101.19.158.163,44258,,21022,ntscSYN,0.16936,3,anomalous
22,146.95.15.250,1901,,1900,ntscUDPOther,0.16936,3,anomalous
23,80.174.41.207,44620,203.141.166.223,,mptpla,0.49289,7,anomalous
23,80.174.41.206,44265,203.141.166.223,,mptpla,0.49289,7,anomalous
24,87.253.56.163,44010,203.141.174.46,,heavy_hitter,0.16118,2,anomalous
25,192.142.59.96,,,1521,ntscSYN,0.16118,2,anomalous
